Users,SpawnRate
1,1
1,1
1,1
3,1
1,1
2,1
2,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
2,1
3,1
2,1
5,1
3,1
2,1
2,1
4,1
5,1
13,1
8,1
3,1
4,1
4,1
9,1
4,1
7,1
7,1
4,1
24,1
21,1
22,1
19,1
25,1
23,1
27,1
29,1
23,1
19,1
25,1
27,1
124,1
106,1
97,1
106,1
98,1
105,1
97,1
95,1
107,1
97,1
102,1
100,1
97,1
102,1
104,1
101,1
101,1
72,1
91,1
97,1
105,1
90,1
123,1
93,1
157,1
123,1
130,1
151,1
129,1
126,1
135,1
163,1
133,1
156,1
159,1
156,1
111,1
104,1
115,1
86,1
96,1
111,1
102,1
100,1
98,1
104,1
111,1
92,1
99,1
103,1
101,1
101,1
104,1
108,1
105,1
101,1
101,1
97,1
100,1
113,1
116,1
103,1
99,1
110,1
94,1
80,1
92,1
106,1
110,1
118,1
93,1
105,1
110,1
100,1
110,1
101,1
109,1
109,1
111,1
112,1
112,1
120,1
97,1
106,1
90,1
89,1
88,1
97,1
80,1
88,1
75,1
87,1
98,1
111,1
103,1
99,1
82,1
94,1
71,1
67,1
66,1
74,1
83,1
92,1
104,1
78,1
87,1
100,1
81,1
87,1
71,1
63,1
72,1
72,1
73,1
80,1
87,1
73,1
85,1
63,1
72,1
54,1
48,1
51,1
68,1
62,1
62,1
54,1
57,1
62,1
58,1
69,1
44,1
57,1
58,1
57,1
44,1
53,1
44,1
40,1
42,1
51,1
52,1
56,1
53,1
35,1
48,1
48,1
54,1
56,1
49,1
37,1
44,1
35,1
46,1
44,1
50,1
55,1
59,1
48,1
36,1
49,1
41,1
52,1
57,1
54,1
49,1
39,1
30,1
36,1
27,1
42,1
30,1
31,1
48,1
35,1
31,1
34,1
40,1
46,1
16,1
15,1
18,1
22,1
22,1
26,1
11,1
15,1
19,1
13,1
16,1
23,1
8,1
8,1
9,1
8,1
6,1
8,1
6,1
9,1
15,1
15,1
14,1
8,1
6,1
3,1
2,1
2,1
3,1
4,1
7,1
4,1
5,1
5,1
6,1
2,1
