Users,SpawnRate
1,1
1,1
3,1
3,1
3,1
1,1
1,1
1,1
3,1
3,1
1,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
4,1
1,1
1,1
3,1
3,1
4,1
1,1
1,1
3,1
3,1
2,1
9,1
12,1
11,1
10,1
3,1
10,1
12,1
12,1
10,1
12,1
10,1
8,1
21,1
18,1
26,1
21,1
19,1
23,1
16,1
21,1
19,1
18,1
23,1
28,1
33,1
33,1
36,1
42,1
33,1
38,1
34,1
24,1
43,1
47,1
42,1
34,1
43,1
35,1
31,1
37,1
36,1
35,1
34,1
32,1
37,1
38,1
45,1
43,1
37,1
54,1
29,1
39,1
42,1
32,1
32,1
28,1
23,1
35,1
41,1
35,1
30,1
35,1
31,1
39,1
30,1
39,1
36,1
44,1
24,1
45,1
37,1
35,1
52,1
40,1
45,1
42,1
25,1
40,1
48,1
39,1
32,1
47,1
46,1
45,1
56,1
38,1
42,1
44,1
40,1
39,1
48,1
56,1
49,1
44,1
57,1
50,1
37,1
41,1
40,1
47,1
45,1
35,1
33,1
47,1
45,1
45,1
54,1
49,1
33,1
48,1
51,1
50,1
55,1
53,1
50,1
33,1
51,1
42,1
41,1
37,1
47,1
46,1
41,1
41,1
42,1
47,1
44,1
48,1
42,1
50,1
42,1
44,1
36,1
34,1
35,1
37,1
34,1
39,1
45,1
28,1
32,1
48,1
33,1
29,1
38,1
31,1
33,1
42,1
39,1
36,1
41,1
39,1
31,1
33,1
35,1
47,1
30,1
39,1
34,1
41,1
47,1
42,1
35,1
33,1
36,1
42,1
37,1
31,1
25,1
29,1
35,1
33,1
40,1
29,1
29,1
34,1
28,1
21,1
25,1
35,1
19,1
27,1
20,1
15,1
27,1
22,1
28,1
18,1
20,1
22,1
29,1
23,1
6,1
5,1
5,1
3,1
4,1
8,1
6,1
3,1
5,1
4,1
4,1
4,1
3,1
2,1
3,1
4,1
3,1
4,1
3,1
2,1
2,1
3,1
2,1
3,1
