Users,SpawnRate
1,1
3,1
1,1
1,1
1,1
1,1
2,1
1,1
2,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
2,1
2,1
1,1
1,1
1,1
5,1
6,1
4,1
4,1
4,1
11,1
5,1
5,1
5,1
4,1
6,1
6,1
26,1
22,1
19,1
19,1
20,1
17,1
19,1
26,1
23,1
17,1
24,1
24,1
84,1
104,1
102,1
109,1
108,1
100,1
109,1
79,1
125,1
104,1
115,1
106,1
102,1
92,1
82,1
105,1
87,1
95,1
86,1
81,1
82,1
99,1
88,1
102,1
133,1
128,1
124,1
134,1
135,1
123,1
112,1
123,1
120,1
111,1
126,1
126,1
87,1
102,1
99,1
66,1
84,1
88,1
87,1
92,1
94,1
93,1
79,1
96,1
94,1
74,1
92,1
77,1
90,1
91,1
88,1
87,1
77,1
82,1
65,1
70,1
122,1
94,1
119,1
116,1
106,1
131,1
99,1
116,1
97,1
119,1
112,1
115,1
83,1
76,1
86,1
77,1
87,1
95,1
89,1
96,1
81,1
79,1
95,1
96,1
63,1
82,1
72,1
82,1
84,1
72,1
93,1
84,1
77,1
64,1
81,1
78,1
52,1
63,1
62,1
74,1
74,1
65,1
69,1
74,1
79,1
53,1
77,1
68,1
53,1
44,1
58,1
58,1
55,1
59,1
46,1
50,1
44,1
60,1
66,1
58,1
63,1
48,1
50,1
37,1
50,1
71,1
51,1
36,1
47,1
61,1
41,1
51,1
30,1
42,1
39,1
43,1
29,1
38,1
46,1
40,1
43,1
36,1
33,1
49,1
51,1
36,1
43,1
40,1
35,1
44,1
33,1
36,1
45,1
35,1
47,1
40,1
34,1
32,1
37,1
34,1
24,1
35,1
43,1
22,1
35,1
41,1
41,1
40,1
23,1
31,1
27,1
41,1
32,1
30,1
30,1
34,1
30,1
37,1
27,1
25,1
22,1
14,1
13,1
18,1
14,1
13,1
17,1
16,1
22,1
17,1
19,1
21,1
15,1
7,1
9,1
10,1
8,1
14,1
11,1
7,1
11,1
10,1
11,1
12,1
3,1
5,1
3,1
3,1
5,1
4,1
5,1
2,1
4,1
5,1
3,1
2,1
