Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,create personal enrollment,85,0,290.0,523.3583751177374,280.2477020013612,2889.9198269937187,170.0,0.28293056111075854,0.0,290,350,480,640,1300,1300,2800,2900,2900,2900,2900
DELETE,delete personal enrollment by id,3,0,360.0,346.18525599459343,291.81834499468096,389.76937798724975,170.0,0.009985784509791477,0.0,360,360,390,390,390,390,390,390,390,390,390
GET,get activities by query,22,0,2000.0,2029.0808762272884,550.9213820041623,4099.061516011716,39872.545454545456,0.0732290864051375,0.0,2200,2200,2300,2300,2800,3100,4100,4100,4100,4100,4100
GET,get activity records by query,2,0,300.0,341.23236650339095,297.06084200006444,385.40389100671746,57.0,0.006657189673194319,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,get activity with aggregates by objective workflow aggregate id,11,0,2200.0,2882.6240839989623,835.1468229957391,8547.22603999835,48644.181818181816,0.03661454320256875,0.0,2200,3300,3700,3700,4700,8500,8500,8500,8500,8500,8500
GET,get created personal enrollment state by id,85,0,290.0,466.9401548121481,277.2292790032225,3495.4769760079216,428.7647058823529,0.28293056111075854,0.0,290,290,370,530,930,1300,2300,3500,3500,3500,3500
GET,get deleted personal enrollment state by id,3,0,286.90360199834686,283.9906539981409,279.83944400330074,286.90360199834686,288.6666666666667,0.009985784509791477,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,get objective by id,22,0,3000.0,3589.8936751367396,1194.5193620049395,11003.821498990874,83479.72727272728,0.0732290864051375,0.0,3000,3300,3600,4500,6400,8000,11000,11000,11000,11000,11000
GET,get objective personal enrollments by query,3,0,680.0,808.4405633271672,500.2065059961751,1242.2478779917583,4407.333333333333,0.009985784509791477,0.0,680,680,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,get objective records by objective workflow aggregate id,11,0,290.0,360.3129049985331,288.8348289998248,940.4229279898573,2.0,0.03661454320256875,0.0,290,300,340,340,350,940,940,940,940,940,940
GET,get objective workflow aggregate by id,11,0,290.0,428.72059618159915,283.11011000187136,897.5327869993635,1941.2727272727273,0.03661454320256875,0.0,290,300,610,610,890,900,900,900,900,900,900
GET,get objective workflow aggregate by objective id,9,0,290.0,604.5524211141229,280.8231310045812,1481.6653029993176,1949.3333333333333,0.029957353529374432,0.0,290,640,810,1100,1500,1500,1500,1500,1500,1500,1500
GET,get objectives by query,184,0,4200.0,5427.513174472472,836.9668229861418,52545.34091599635,82061.03260869565,0.6124614499338773,0.0,4300,5600,6400,7000,9400,12000,20000,33000,53000,53000,53000
GET,get started activity workflows,2,0,283.8042229996063,305.657685494225,283.8042229996063,327.51114798884373,2.0,0.006657189673194319,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,get started objective workflows,2,0,300.0,1411.4988465007627,296.2849739997182,2526.7127190018073,2.0,0.006657189673194319,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,get updated activity,22,0,290.0,550.6788715462211,279.362334011239,2639.699366001878,278.6363636363636,0.0732290864051375,0.0,290,300,630,810,1200,1300,2600,2600,2600,2600,2600
GET,get updated objective state by id,95,0,290.0,514.4522706843227,276.8715389975114,3939.2140059935628,278.77894736842103,0.31621650947673013,0.0,290,300,380,630,980,1200,3000,3900,3900,3900,3900
GET,get user activity workflow aggregates by query,13,0,350.0,600.08835023081,290.6962429988198,1614.2873060016427,57.0,0.04327173287576307,0.0,350,360,380,1400,1400,1600,1600,1600,1600,1600,1600
GET,get user me,430,0,290.0,894.1723549444781,276.9268060073955,46045.96768200281,368.053488372093,1.4312957797367785,0.0,290,310,520,680,1200,1600,4400,17000,46000,46000,46000
GET,get user objective workflow aggregates,426,0,640.0,1025.5007264362482,279.43701499316376,54379.57058000029,8101.931924882629,1.41798140039039,0.0,640,880,980,1200,1700,2200,3100,3500,54000,54000,54000
GET,get user permissions,416,0,560.0,918.9280841776333,273.3171980071347,35133.38555399969,4141.0,1.3846954520244183,0.0,560,690,910,1000,1700,2100,3200,4300,35000,35000,35000
GET,get user roles,413,0,290.0,682.7125976006396,275.97728099499363,20893.61141299014,113.0,1.3747096675146269,0.0,290,350,590,890,1200,1600,2700,5800,21000,21000,21000
GET,get users by query,86,0,330.0,763.3394623839575,280.8282269979827,3537.198257006821,346.98837209302326,0.2862591559473557,0.0,330,900,920,1100,1600,2500,3500,3500,3500,3500,3500
POST,login instructor user,2,0,1027.0003009936772,1154.7821494968957,1027.0003009936772,1282.5639980001142,1086.0,0.006657189673194319,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
POST,login learner user,12,0,960.0,5598.952002503211,320.898660007515,28669.011399993906,1086.0,0.03994313803916591,0.0,1200,1200,1600,1600,28000,29000,29000,29000,29000,29000,29000
POST,start activity workflow,2,2,290.0,385.0883335035178,286.05242000776343,484.12424699927215,354.0,0.006657189673194319,0.006657189673194319,480,480,480,480,480,480,480,480,480,480,480
POST,start objective workflow,2,2,310.0,505.9899779953412,309.0481159888441,702.9318400018383,470.0,0.006657189673194319,0.006657189673194319,700,700,700,700,700,700,700,700,700,700,700
