Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,get activities by query,36,0,2100.0,7317.6790236676525,637.5428320025094,76716.17189499375,34642.305555555555,0.1200123404794417,0.0,2200,2500,3800,4700,7300,61000,77000,77000,77000,77000,77000
GET,get activity records by query,28,0,990.0,1578.7299973926565,287.22852999635506,8638.21689899487,57.0,0.09334293148401021,0.0,1100,1200,1500,3300,4400,5300,8600,8600,8600,8600,8600
GET,get activity with aggregates by objective workflow aggregate id,187,0,1900.0,3466.542949801903,343.5826619970612,80871.53124000179,33936.561497326205,0.623397435268211,0.0,1900,2500,2800,3300,5800,7100,24000,66000,81000,81000,81000
GET,get objective by id,244,0,3200.0,5792.9572352257355,576.7754459957359,96415.79165900475,69622.34426229508,0.8134169743606604,0.0,3200,4400,5600,6200,8500,13000,46000,60000,96000,96000,96000
GET,get objective records by objective workflow aggregate id,191,0,450.0,1399.2548465384543,286.1102650058456,54015.633878996596,2.0,0.6367321397659268,0.0,450,1000,1300,1500,2500,3900,7600,17000,54000,54000,54000
GET,get objective workflow aggregate by id,191,0,620.0,1567.0651665548776,283.0338829953689,51065.41229900904,2069.471204188482,0.6367321397659268,0.0,620,1100,1300,1600,2200,3000,6600,44000,51000,51000,51000
GET,get objective workflow aggregate by objective id,172,0,590.0,1210.5965159829539,281.3283620052971,10112.78481601039,2065.767441860465,0.573392293401777,0.0,590,1100,1500,1700,3000,4300,6500,7400,10000,10000,10000
GET,get objectives by query,4,0,4600.0,13204.560966994904,2110.3578549955273,41206.27644799242,61862.75,0.013334704497715745,0.0,4900,4900,41000,41000,41000,41000,41000,41000,41000,41000,41000
GET,get started activity workflow state by id,27,0,440.0,1210.4061820368602,289.80733299977146,14061.512657004641,437.74074074074076,0.09000925535958128,0.0,440,800,1400,1400,1700,1800,14000,14000,14000,14000,14000
GET,get started objective workflow state by id,28,0,380.0,1365.2661957837283,281.6903829952935,13240.50480799633,409.60714285714283,0.09334293148401021,0.0,420,1100,1200,1300,2300,6800,13000,13000,13000,13000,13000
GET,get updated activity,36,0,420.0,674.2112289729347,281.0031789995264,4284.965356011526,278.8888888888889,0.1200123404794417,0.0,430,620,840,1000,1200,1500,4300,4300,4300,4300,4300
GET,get updated objective state by id,4,0,430.0,459.4782167514495,329.12809199478943,634.3557340005646,278.25,0.013334704497715745,0.0,440,440,630,630,630,630,630,630,630,630,630
GET,get user activity workflow aggregates by query,217,0,390.0,848.1979484703796,285.4137539980002,9394.047756009968,813.5253456221199,0.7234077190010791,0.0,390,600,1000,1200,1900,3000,3800,5100,9400,9400,9400
GET,get user me,306,0,400.0,1911.949959921746,279.5805689966073,47491.515308996895,367.3137254901961,1.0201048940752544,0.0,400,720,1200,1400,2300,4100,24000,41000,47000,47000,47000
GET,get user objective workflow aggregates,298,0,1100.0,2619.912286147619,282.5457029975951,61475.64165700169,9784.335570469799,0.9934354850798229,0.0,1200,1600,2000,2300,3500,5500,32000,38000,61000,61000,61000
GET,get user permissions,82,0,830.0,2309.1082587315013,289.90438900655136,39004.728774991236,4141.0,0.27336144220317277,0.0,860,1400,1700,2000,3100,7800,21000,39000,39000,39000,39000
GET,get user roles,82,0,450.0,1768.764045524976,280.7108910055831,51061.30385499273,113.0,0.27336144220317277,0.0,460,1100,1300,1400,2200,3200,18000,51000,51000,51000,51000
POST,login instructor user,2,0,1908.1647190032527,3481.5088649993413,1908.1647190032527,5054.85301099543,1086.0,0.006667352248857872,0.0,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100
POST,login learner user,10,0,1500.0,1693.1806670996593,981.607547000749,3531.768264991115,1086.0,0.03333676124428936,0.0,1600,1600,1800,2700,3500,3500,3500,3500,3500,3500,3500
