Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,create personal enrollment,40,0,18,60.66247620474314,15.282559965271503,944.4620339781977,170.0,0.07403207334100914,0.0,18,18,18,19,30,770,940,940,940,940,940
GET,get activity records by query,1,0,33.78124302253127,33.78124302253127,33.78124302253127,33.78124302253127,57.0,0.0018508018335252284,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,get activity with aggregates by objective workflow aggregate id,1,0,31.05885098921135,31.05885098921135,31.05885098921135,31.05885098921135,1868.0,0.0018508018335252284,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,get created personal enrollment state by id,90,0,11,20.19799774279818,9.432071994524449,806.5171979833394,230.53333333333333,0.16657216501727057,0.0,11,11,12,12,13,15,22,810,810,810,810
GET,get objective by id,2,0,26,30.64228399307467,25.575642997864634,35.70892498828471,50204.0,0.003701603667050457,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,get objective records by objective workflow aggregate id,2,0,18.256931973155588,29.621714493259788,18.256931973155588,40.98649701336399,2.0,0.003701603667050457,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,get objective workflow aggregate by id,2,0,14,24.09729702048935,13.979063020087779,34.21553102089092,1679.0,0.003701603667050457,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,get objective workflow aggregate by objective id,1,0,37.95469301985577,37.95469301985577,37.95469301985577,37.95469301985577,1679.0,0.0018508018335252284,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,get objectives by query,58,0,29,73.75470196009324,20.38152504246682,972.1543790074065,40584.55172413793,0.10734650634446326,0.0,30,31,33,35,58,700,850,970,970,970,970
GET,get started activity workflow state by id,13,0,12,14.089658775796684,11.008511006366462,31.490148045122623,174.92307692307693,0.02406042383582797,0.0,12,14,14,14,15,31,31,31,31,31,31
GET,get started objective workflow state by id,5,0,18,19.084914424456656,12.424362997990102,33.844768011476845,206.2,0.009254009167626143,0.0,18,19,19,34,34,34,34,34,34,34,34
GET,get updated objective state by id,44,0,11,11.61689702580175,9.338504984043539,29.551319021265954,203.8181818181818,0.08143528067511005,0.0,11,11,12,12,13,15,30,30,30,30,30
GET,get user activity workflow aggregates by query,2,0,23.15586298936978,59.931458497885615,23.15586298936978,96.70705400640145,57.0,0.003701603667050457,0.0,97,97,97,97,97,97,97,97,97,97,97
GET,get user me,114,0,15,37.59037841238049,10.908325028140098,1217.2418429981917,393.2631578947368,0.21099140902187605,0.0,15,15,16,16,22,69,220,730,1200,1200,1200
GET,get user objective workflow aggregates,114,0,14,48.97609358835197,11.849960021208972,1221.6493200394325,5139.473684210527,0.21099140902187605,0.0,14,15,16,18,20,48,860,1000,1200,1200,1200
GET,get user permissions,113,0,10,17.38121877764393,9.168383025098592,781.5495749819092,3731.0,0.2091406071883508,0.0,10,11,11,11,12,12,14,20,780,780,780
GET,get user roles,113,0,12,24.99698493753321,10.470869019627571,915.4427300090902,113.0,0.2091406071883508,0.0,12,12,12,12,13,15,24,590,920,920,920
GET,get users by query,40,0,14,58.294423097686376,12.19693198800087,977.215736056678,344.95,0.07403207334100914,0.0,15,16,17,19,21,770,980,980,980,980,980
POST,login Instructor user,4,0,45,59.710954505135305,44.476574985310435,75.07340802112594,1083.0,0.007403207334100914,0.0,75,75,75,75,75,75,75,75,75,75,75
POST,login Learner user,10,0,43,53.09658020851202,39.895454014185816,77.89236004464328,1083.0,0.018508018335252285,0.0,45,53,73,77,78,78,78,78,78,78,78
POST,start activity workflow,1,0,102.1105149993673,102.1105149993673,102.1105149993673,102.1105149993673,167.0,0.0018508018335252284,0.0,100,100,100,100,100,100,100,100,100,100,100
POST,start objective workflow,1,0,727.8155320091173,727.8155320091173,727.8155320091173,727.8155320091173,168.0,0.0018508018335252284,0.0,730,730,730,730,730,730,730,730,730,730,730
PUT,update objective,18,0,25,29.939895059214905,22.43699599057436,79.2089810129255,160.0,0.03331443300345411,0.0,25,27,31,36,39,79,79,79,79,79,79
POST,upload attachment to objective,7,0,1200.0,1266.661683870812,311.29343999782577,2692.0293900184333,157.14285714285714,0.012955612834676599,0.0,1200,1400,2100,2100,2700,2700,2700,2700,2700,2700,2700
POST,upload image to objective,4,0,640.0,845.961347760749,382.94450601097196,1190.307984012179,190.0,0.007403207334100914,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
,Aggregated,800,0,13,51.351785209044465,9.168383025098592,2692.0293900184333,4500.44,1.4806414668201828,0.0,13,15,17,20,32,75,810,1200,2700,2700,2700
