Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,create personal enrollment,1,0,99.8956219991669,99.8956219991669,99.8956219991669,99.8956219991669,170.0,0.003315739566237914,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,download attachment from objective,31,0,300.0,340.08031667608225,134.97573602944613,1202.0384969655424,6697.0,0.10278792655337533,0.0,300,310,350,360,480,520,1200,1200,1200,1200,1200
GET,get activities by query,67,0,65,82.67259833475909,41.402408038266,665.2386300265789,34821.58208955224,0.22215455093794023,0.0,65,81,85,93,110,120,160,670,670,670,670
GET,get activity records by query,12,0,46,46.51650507488133,41.68093699263409,53.268467949237674,57.0,0.03978887479485497,0.0,46,48,49,49,50,53,53,53,53,53,53
GET,get activity with aggregates by objective workflow aggregate id,410,0,36,46.26883347802682,31.41087095718831,642.0604350278154,16578.11951219512,1.3594532221575446,0.0,36,38,42,50,61,81,120,140,640,640,640
GET,get created personal enrollment state by id,2,0,31.164274958427995,47.84474699408747,31.164274958427995,64.52521902974695,293.0,0.006631479132475828,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,get objective by id,565,0,56,60.97820655327389,28.954348003026098,220.57237598346546,47097.589380530975,1.8733928549244214,0.0,56,60,74,78,87,110,140,150,220,220,220
GET,get objective records by objective workflow aggregate id,410,0,39,43.35593716198829,33.494839968625456,552.7000930160284,55.826829268292684,1.3594532221575446,0.0,39,40,41,43,49,58,93,110,550,550,550
GET,get objective workflow aggregate by id,410,0,33,43.37346100222842,29.153163020964712,1028.5406570183113,1886.5878048780487,1.3594532221575446,0.0,33,34,35,37,47,70,100,120,1000,1000,1000
GET,get objective workflow aggregate by objective id,399,0,33,41.77553628140682,28.957744012586772,949.8634079936892,1882.142857142857,1.3229800869289277,0.0,33,34,35,36,44,66,110,300,950,950,950
GET,get objectives by query,18,0,83,96.58502372783713,57.827194046694785,166.60012304782867,65424.833333333336,0.05968331219228245,0.0,93,95,110,120,150,170,170,170,170,170,170
GET,get started activity workflow state by id,13,0,32,44.66121154389559,30.137613997794688,98.55015098582953,276.38461538461536,0.04310461436109288,0.0,32,33,34,68,98,99,99,99,99,99,99
GET,get started objective workflow state by id,12,0,33,40.447151584279105,28.90176302753389,120.04187802085653,287.8333333333333,0.03978887479485497,0.0,33,33,34,34,45,120,120,120,120,120,120
GET,get updated activity,72,0,31,38.17819112009602,28.814302990213037,332.9450869932771,270.65277777777777,0.2387332487691298,0.0,31,33,34,34,39,53,96,330,330,330,330
GET,get updated objective state by id,20,0,31,34.21944486326538,27.981411025393754,45.05478101782501,259.7,0.06631479132475827,0.0,32,38,40,41,42,45,45,45,45,45,45
GET,get user activity workflow aggregates by query,422,0,41,53.81476448617668,34.108511987142265,618.5111869708635,15417.808056872038,1.3992420969523998,0.0,41,46,58,62,84,100,140,160,620,620,620
