Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,download attachment from objective,2,0,160.0,205.22445350070484,156.5471839858219,253.90172301558778,6697.0,0.006771328267437607,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,get activity records by query,7,0,46,50.467264431063086,42.208499973639846,65.50910900114104,57.0,0.023699648936031624,0.0,46,56,56,56,66,66,66,66,66,66,66
GET,get activity with aggregates by objective workflow aggregate id,55,0,35,37.90192998183722,31.236075039487332,109.17114501353353,8040.963636363636,0.18621152735453417,0.0,35,36,37,38,46,49,67,110,110,110,110
GET,get objective by id,71,0,54,113.2557713098719,29.92194698890671,1028.6762730102055,39326.77464788732,0.24038215349403502,0.0,54,56,63,71,92,870,960,1000,1000,1000,1000
GET,get objective records by objective workflow aggregate id,55,0,39,62.603879703039475,34.44001905154437,733.6158640100621,63.56363636363636,0.18621152735453417,0.0,39,41,42,43,49,110,540,730,730,730,730
GET,get objective workflow aggregate by id,55,0,34,60.14107350810346,30.18055099528283,853.1275279819965,1774.490909090909,0.18621152735453417,0.0,34,35,38,40,59,110,400,850,850,850,850
GET,get objective workflow aggregate by objective id,48,0,33,98.51936087579816,30.271933996118605,1101.6546330065466,1754.875,0.16251187841850256,0.0,33,34,37,40,63,650,1100,1100,1100,1100,1100
GET,get started activity workflow state by id,9,0,32,33.285108770036864,30.319164972752333,44.79106602957472,256.8888888888889,0.030470977203469227,0.0,32,32,33,34,45,45,45,45,45,45,45
GET,get started objective workflow state by id,8,0,32,42.67134762631031,29.08133895834908,102.37380501348525,270.875,0.027085313069750427,0.0,32,33,51,51,100,100,100,100,100,100,100
GET,get user activity workflow aggregates by query,62,0,78,70.15344230908781,36.165111989248544,117.08159500267357,4557.806451612903,0.2099111762905658,0.0,78,82,87,96,100,110,110,120,120,120,120
GET,get user me,85,0,34,98.26434228829491,29.7729599988088,1025.6107579916716,389.29411764705884,0.2877814513660983,0.0,34,36,39,46,260,590,990,1000,1000,1000,1000
GET,get user objective workflow aggregates,85,0,57,89.39177844509044,37.71004802547395,993.4578359825537,17203.376470588235,0.2877814513660983,0.0,57,59,60,64,86,120,910,990,990,990,990
GET,get user permissions,27,0,29,32.70897984340856,26.827539026271552,108.3364809746854,3731.0,0.09141293161040769,0.0,29,30,31,32,34,35,110,110,110,110,110
GET,get user roles,27,0,31,67.15694933491586,28.65293202921748,977.207958989311,113.0,0.09141293161040769,0.0,31,32,33,34,37,45,980,980,980,980,980
POST,login Learner user,5,0,70,94.9334789882414,61.43400800647214,184.71101799514145,1083.0,0.016928320668594017,0.0,70,91,91,180,180,180,180,180,180,180,180
POST,start activity workflow,7,0,38,49.47152643165152,36.28505097003654,113.97684598341584,167.0,0.023699648936031624,0.0,38,39,44,44,110,110,110,110,110,110,110
POST,start objective workflow,7,0,66,62.18090329119669,36.008343973662704,109.6260140184313,168.0,0.023699648936031624,0.0,66,71,72,72,110,110,110,110,110,110,110
,Aggregated,615,0,38,76.85076805679658,26.827539026271552,1101.6546330065466,8662.70243902439,2.082183442237064,0.0,38,53,57,60,92,130,740,960,1100,1100,1100
